id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31345268,Gemütliche Wohnung nähe Messe Riem,20298671,Nimesh,,Tudering-Riem,48.12264,11.67766,Entire home/apt,93,2,6,2022-12-14,0.13,1,3,1,
32529838,Gemütliche Wohnung am Stadtrand München - Solln,164401214,Simone,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.081,11.50197,Private room,40,1,6,2022-09-29,1.09,1,180,6,
29455648,"Quiet, centrally located, perfect traffic links",137079407,Volker,,Au-Haidhausen,48.12045,11.57661,Private room,40,4,143,2022-10-05,2.89,1,0,34,
32538824,comfy cozy studio  in the best location in Munich,2951462,Fabian,,Schwabing-West,48.16608,11.57329,Entire home/apt,250,7,0,,,1,365,0,
29479024,Schönes Apartment in Münchner Top-Gegend,222023783,Susanne,,Neuhausen-Nymphenburg,48.1551,11.55411,Entire home/apt,50,1,13,2020-09-28,0.26,1,0,0,
29485917,"1 marvel-room in ""artist loft"" above central city",221404139,Sabrina,,Maxvorstadt,48.14389,11.54535,Private room,99,2,5,2022-05-28,0.10,2,88,3,
31352153,"Quiet room, garden view - Südzimmer m. Gartenblick",211958889,Annegret,,Berg am Laim,48.11924,11.6431,Private room,99,2,10,2022-10-27,0.21,2,100,3,
32557907,Stadtapartment Glockenbachviertel,244673065,Simone,,Ludwigsvorstadt-Isarvorstadt,48.12653,11.5679,Entire home/apt,85,21,14,2021-08-01,0.32,1,0,0,
31376955,Beautiful Apartment in the heart of Munich!,20212546,Christian,,Neuhausen-Nymphenburg,48.14784,11.54144,Entire home/apt,95,2,17,2020-08-03,0.38,1,0,0,
29499003,Sleep in the heart of munich!,222159766,Ludwig,,Ludwigsvorstadt-Isarvorstadt,48.13555,11.56245,Entire home/apt,122,5,89,2022-06-06,1.79,2,0,7,
32589524,Kleiner Preis Top Ausstattung,205832270,K Eins Mysecondhome De,,Ramersdorf-Perlach,48.111755,11.617298,Entire home/apt,999,25,13,2020-07-16,0.31,33,0,0,
32602783,Cosy room close city center and nature,2683682,Thomas,,Untergiesing-Harlaching,48.09869,11.56482,Private room,50,2,17,2022-10-05,0.38,1,92,9,
31401091,APARTMENT IN CENTRAL MUNICH WITH BAVARIAN INTERIOR,235195827,Nermin,,Maxvorstadt,48.14876,11.55789,Entire home/apt,96,2,0,,,1,0,0,
32605185,Cozy loft between Marienplatz & Gärtnerplatz,89480590,Sabrina,,Ludwigsvorstadt-Isarvorstadt,48.131,11.57887,Entire home/apt,160,2,20,2022-11-27,0.43,1,5,4,
31423710,UNIQUE FLAIR OF MUNICH IN CENTRAL LOCATION,235383848,Steffi,,Ludwigsvorstadt-Isarvorstadt,48.12602,11.55707,Entire home/apt,131,2,0,,,1,0,0,
29504545,YOUR COZY HOME AWAY FROM HOME!,222190072,Philipp,,Neuhausen-Nymphenburg,48.16256,11.5442,Entire home/apt,88,2,4,2019-04-18,0.08,1,0,0,
32606353,"Schönste Gegend, hell, familienfreundlich",43706997,Tina,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10058,11.5454,Entire home/apt,120,3,9,2022-09-10,0.21,1,0,3,
29525482,APARTMENT WITH THE PERFECT VIEW,222335640,Hubertus,,Schwabing-West,48.17588,11.56694,Entire home/apt,108,2,0,,,1,0,0,
31428811,STAY IN THE HEART OF MUNICH!,235416115,Horst Bernd Carl,,Maxvorstadt,48.15047,11.57727,Entire home/apt,114,2,0,,,1,0,0,
32630005,Cosy 2-room-Appartment next to Oktoberfest,146862732,Andreas,,Neuhausen-Nymphenburg,48.15382,11.53842,Entire home/apt,300,2,7,2019-07-14,0.15,3,0,0,
29604355,2 Zimmer Wohnung mit offenem Wohnbereich!,222834904,Jennifer,,Schwabing-Freimann,48.18369,11.59504,Entire home/apt,99,4,8,2019-06-08,0.16,1,55,0,
32631723,LIGHT VINTAGE FLAIR IN POPULAR SCHWABING-WEST,245331296,Marianne,,Schwabing-West,48.16124,11.57438,Entire home/apt,108,2,17,2019-05-27,0.37,1,0,0,
29625509,PERFEKT für Messe/ICM & City + schöne Terrasse,222999831,T,,Berg am Laim,48.13001,11.64927,Entire home/apt,250,2,21,2022-10-06,0.42,1,89,1,
31429595,Zimmer in Laufweite zur Messe München,16716953,Marie,,Tudering-Riem,48.13076,11.70767,Private room,220,3,1,2019-04-11,0.02,1,95,0,
